iter	Logloss
0	0.560833846
1	0.4968888397
2	0.4613566693
3	0.4446931491
4	0.4341214111
5	0.4255913755
6	0.4209146709
7	0.4140518858
8	0.4099128209
9	0.4063875246
10	0.4031027775
11	0.4008054468
12	0.3970943339
13	0.3953404095
14	0.3933792392
15	0.3916682018
16	0.3906900039
17	0.3898447173
18	0.3889439071
19	0.3875073465
20	0.3855237011
21	0.3836395498
22	0.3820559576
23	0.3810977414
24	0.3805222409
25	0.3797436228
26	0.3786548584
27	0.3777692953
28	0.3768266651
29	0.3757519949
30	0.3748842259
31	0.3742338891
32	0.3736378779
33	0.3732556254
34	0.3730512134
35	0.3725371579
36	0.3715022413
37	0.370730779
38	0.3702435445
39	0.3697737243
40	0.3695205059
41	0.3693227821
42	0.3688833333
43	0.3683724208
44	0.368372358
45	0.367589721
46	0.367086787
47	0.3666799367
48	0.3662904218
49	0.3660245014
50	0.3654712932
51	0.3644065562
52	0.3639644504
53	0.3634562189
54	0.3632651918
55	0.3626331043
56	0.3624027784
57	0.3618671989
58	0.361546918
59	0.3613409516
60	0.3612460029
61	0.3606709914
62	0.3602655999
63	0.3598561571
64	0.3596432031
65	0.3594034873
66	0.3590880325
67	0.3586275341
68	0.3584777704
69	0.3582707416
70	0.3574529545
71	0.3568933607
72	0.356523542
73	0.3560883874
74	0.3556022865
75	0.3551635924
76	0.354895807
77	0.3545714128
78	0.3542742428
79	0.3537081801
80	0.3530981208
81	0.352701802
82	0.3525032952
83	0.3520411587
84	0.3513721884
85	0.3510051343
86	0.3504806986
87	0.3502552526
88	0.3499512314
89	0.3493883135
90	0.3488693708
91	0.3485922572
92	0.3484313806
93	0.348079951
94	0.3478725665
95	0.3474292351
96	0.3471694646
97	0.3469287832
98	0.3468047772
99	0.3465618873
100	0.3461176717
101	0.3459573582
102	0.3456174135
103	0.3456091577
104	0.3455050336
105	0.3454881453
106	0.3451274862
107	0.3450446729
108	0.3448689663
109	0.3445411369
110	0.3445316077
111	0.3442443312
112	0.3440233643
113	0.3438062025
114	0.343372514
115	0.3431537058
116	0.3429458047
117	0.34274943
118	0.3425320422
119	0.3422503789
120	0.3420024004
121	0.3415500062
122	0.3415479307
123	0.3411535114
124	0.3411473069
125	0.3410880088
126	0.3406880836
127	0.3404832817
128	0.340366285
129	0.3401384403
130	0.3400134421
131	0.3396842207
132	0.3395506608
133	0.3393238892
134	0.3391095907
135	0.3390581424
136	0.3389039077
137	0.3386075867
138	0.3385194493
139	0.3382523738
140	0.3380890638
141	0.3378277973
142	0.3375378669
143	0.337336523
144	0.3369491266
145	0.3367394673
146	0.336580121
147	0.3365086632
148	0.3359738661
149	0.3356653566
150	0.3354419599
151	0.3352434288
152	0.3350380556
153	0.3348480343
154	0.3347233093
155	0.3344029113
156	0.3341975817
157	0.3339504332
158	0.3337994663
159	0.3336288234
160	0.3334172052
161	0.3332958429
162	0.3330392759
163	0.3328085956
164	0.3324465317
165	0.3321983991
166	0.3321951337
167	0.3320752393
168	0.3319968945
169	0.3319073463
170	0.3316958014
171	0.3314037335
172	0.3313233956
173	0.3309651366
174	0.330741883
175	0.3306174824
176	0.3304479487
177	0.3302977872
178	0.3300129391
179	0.329898697
180	0.3297774074
181	0.3295902556
182	0.3295449214
183	0.3293957773
184	0.3293447121
185	0.3290695393
186	0.3289637403
187	0.3286859582
188	0.3284934808
189	0.3283169995
190	0.3281640904
191	0.3279221782
192	0.3278219283
193	0.3275925406
194	0.3270914259
195	0.3269862141
196	0.3269155826
197	0.3266353344
198	0.3264845048
199	0.3264242558
200	0.3262937309
201	0.3259556518
202	0.3258114301
203	0.3256322018
204	0.3255587486
205	0.3254275591
206	0.3252609022
207	0.3251035299
208	0.3249235016
209	0.3248972448
210	0.3248181998
211	0.324780803
212	0.3246788851
213	0.3245652927
214	0.3243980006
215	0.3242378426
216	0.3241183426
217	0.3238978538
218	0.3237891416
219	0.3236695422
220	0.3235464741
221	0.3234106895
222	0.323375642
223	0.323032513
224	0.3228308276
225	0.3227204852
226	0.3225675279
227	0.3223498673
228	0.3222545734
229	0.3221726903
230	0.3220288669
231	0.3219404417
232	0.3217137382
233	0.3215584907
234	0.3214826663
235	0.3213026637
236	0.321270279
237	0.32100179
238	0.3208482028
239	0.3208129715
240	0.3206612465
241	0.3204742205
242	0.3203765276
243	0.3203173904
244	0.3202303243
245	0.3201121683
246	0.3199402792
247	0.3196394088
248	0.3195855494
249	0.3194298344
250	0.3192558692
251	0.3191449893
252	0.3189291785
253	0.3187929386
254	0.3186043423
255	0.3184995455
256	0.318371253
257	0.318293504
258	0.3182883427
259	0.3181275651
260	0.3180174379
261	0.3179580254
262	0.317897105
263	0.3177899538
264	0.3176193147
265	0.3176038645
266	0.3174806888
267	0.3173125603
268	0.3172180865
269	0.3170416513
270	0.3167873111
271	0.316563379
272	0.31639981
273	0.3162329752
274	0.3160564082
275	0.3159427354
276	0.3157832556
277	0.315583582
278	0.3154699842
279	0.3153871122
280	0.3152708087
281	0.3151011256
282	0.3150169081
283	0.3149086766
284	0.3147101186
285	0.3146120105
286	0.3143695894
287	0.3142311177
288	0.3140953642
289	0.313895351
290	0.313795458
291	0.313730142
292	0.3137000108
293	0.3135715298
294	0.3133320425
295	0.3131701552
296	0.3131189211
297	0.313042167
298	0.3130185546
299	0.3128035569
