iter	Passed	Remaining
0	65	19465
1	133	19836
2	194	19211
3	259	19185
4	335	19798
5	407	19960
6	473	19805
7	537	19620
8	601	19447
9	664	19274
10	724	19047
11	788	18934
12	850	18782
13	908	18569
14	972	18472
15	1037	18418
16	1108	18452
17	1171	18351
18	1233	18236
19	1291	18079
20	1350	17947
21	1429	18067
22	1512	18216
23	1598	18380
24	1657	18231
25	1717	18095
26	1766	17863
27	1824	17727
28	1896	17719
29	1962	17658
30	2030	17618
31	2093	17536
32	2155	17439
33	2215	17332
34	2272	17206
35	2330	17088
36	2396	17036
37	2452	16912
38	2520	16864
39	2574	16736
40	2643	16700
41	2687	16508
42	2737	16359
43	2794	16258
44	2808	15914
45	2882	15914
46	3003	16167
47	3078	16159
48	3147	16121
49	3230	16150
50	3305	16138
51	3369	16071
52	3428	15976
53	3493	15915
54	3562	15867
55	3634	15836
56	3695	15755
57	3756	15672
58	3817	15594
59	3879	15519
60	3937	15427
61	3991	15322
62	4046	15221
63	4107	15147
64	4165	15060
65	4227	14987
66	4299	14951
67	4364	14890
68	4419	14796
69	4487	14744
70	4547	14667
71	4605	14584
72	4671	14526
73	4732	14453
74	4798	14395
75	4863	14333
76	4932	14285
77	4989	14199
78	5061	14160
79	5129	14105
80	5188	14029
81	5252	13965
82	5317	13902
83	5382	13839
84	5444	13770
85	5512	13716
86	5569	13636
87	5634	13574
88	5711	13541
89	5794	13521
90	5862	13463
91	5923	13392
92	5990	13333
93	6053	13265
94	6114	13194
95	6178	13129
96	6244	13068
97	6309	13005
98	6369	12932
99	6431	12863
100	6494	12795
101	6561	12737
102	6618	12658
103	6667	12565
104	6733	12505
105	6785	12419
106	6847	12350
107	6912	12288
108	6983	12236
109	7053	12183
110	7105	12098
111	7180	12053
112	7255	12007
113	7325	11952
114	7392	11892
115	7455	11825
116	7510	11747
117	7581	11692
118	7634	11612
119	7693	11540
120	7765	11488
121	7829	11424
122	7895	11362
123	7968	11309
124	8021	11230
125	8086	11167
126	8149	11101
127	8213	11036
128	8272	10966
129	8336	10900
130	8393	10827
131	8458	10765
132	8521	10700
133	8584	10634
134	8642	10563
135	8701	10493
136	8768	10432
137	8832	10368
138	8904	10314
139	8970	10252
140	9028	10180
141	9090	10115
142	9156	10053
143	9218	9987
144	9291	9932
145	9380	9894
146	9464	9851
147	9543	9801
148	9611	9740
149	9673	9673
150	9737	9608
151	9801	9543
152	9878	9490
153	9963	9446
154	10031	9384
155	10091	9315
156	10155	9249
157	10228	9192
158	10315	9147
159	10410	9108
160	10484	9051
161	10566	9001
162	10633	8937
163	10702	8875
164	10770	8812
165	10853	8760
166	10923	8699
167	10989	8634
168	11054	8569
169	11132	8513
170	11230	8472
171	11309	8416
172	11377	8352
173	11450	8291
174	11527	8234
175	11590	8165
176	11656	8100
177	11727	8037
178	11809	7982
179	11874	7916
180	11936	7847
181	12027	7797
182	12127	7753
183	12196	7689
184	12252	7616
185	12317	7549
186	12378	7480
187	12438	7410
188	12503	7343
189	12566	7275
190	12628	7206
191	12692	7139
192	12757	7072
193	12825	7007
194	12884	6937
195	12949	6871
196	13010	6802
197	13068	6732
198	13130	6664
199	13191	6595
200	13255	6528
201	13316	6460
202	13380	6393
203	13451	6330
204	13525	6267
205	13587	6200
206	13651	6133
207	13718	6067
208	13784	6001
209	13846	5934
210	13914	5869
211	13974	5800
212	14040	5734
213	14104	5668
214	14181	5606
215	14244	5539
216	14315	5475
217	14378	5408
218	14448	5344
219	14509	5276
220	14574	5209
221	14637	5142
222	14695	5074
223	14763	5009
224	14838	4946
225	14897	4878
226	14968	4813
227	15028	4745
228	15088	4678
229	15157	4613
230	15222	4547
231	15285	4480
232	15345	4412
233	15415	4348
234	15476	4280
235	15541	4214
236	15599	4146
237	15661	4079
238	15725	4013
239	15785	3946
240	15857	3882
241	15928	3817
242	16002	3753
243	16076	3689
244	16152	3626
245	16234	3563
246	16308	3499
247	16383	3435
248	16461	3371
249	16539	3307
250	16617	3243
251	16710	3183
252	16824	3125
253	16926	3065
254	17017	3003
255	17105	2940
256	17207	2879
257	17311	2818
258	17384	2752
259	17460	2686
260	17531	2619
261	17608	2553
262	17676	2486
263	17753	2420
264	17853	2358
265	17938	2292
266	18021	2227
267	18090	2160
268	18162	2093
269	18236	2026
270	18326	1961
271	18402	1894
272	18476	1827
273	18552	1760
274	18627	1693
275	18703	1626
276	18781	1559
277	18872	1493
278	18965	1427
279	19047	1360
280	19119	1292
281	19198	1225
282	19273	1157
283	19353	1090
284	19446	1023
285	19547	956
286	19624	888
287	19700	820
288	19772	752
289	19848	684
290	19927	616
291	19997	547
292	20063	479
293	20139	411
294	20213	342
295	20289	274
296	20361	205
297	20436	137
298	20511	68
299	20605	0
