iter	Logloss
0	0.6058217702
1	0.5578105793
2	0.5168880953
3	0.4957954668
4	0.4836798555
5	0.4708571431
6	0.4610001524
7	0.4558483284
8	0.4490945815
9	0.4433210958
10	0.4404675648
11	0.4385631451
12	0.4350578246
13	0.4315240778
14	0.429339291
15	0.4273190501
16	0.4253756762
17	0.4237310489
18	0.4224230606
19	0.4207597566
20	0.4186836073
21	0.4167971135
22	0.4160926962
23	0.4142118275
24	0.4123522185
25	0.4113234155
26	0.4099087332
27	0.4088905316
28	0.407429341
29	0.4066151116
30	0.4061285365
31	0.4048390128
32	0.4041572245
33	0.4032163406
34	0.4016401615
35	0.4008069344
36	0.4002255802
37	0.3993948475
38	0.3983333234
39	0.3974756926
40	0.396431845
41	0.3954618382
42	0.3949439712
43	0.3943571934
44	0.3940319655
45	0.3935232387
46	0.3927863438
47	0.3919740444
48	0.3917782129
49	0.3906405613
50	0.3900533641
51	0.3897411324
52	0.3893676543
53	0.3891499128
54	0.3888672779
55	0.3879922486
56	0.387375888
57	0.3869669713
58	0.3865984955
59	0.3862182217
60	0.385764145
61	0.3855189971
62	0.3844168687
63	0.3836217725
64	0.3830928859
65	0.3826349043
66	0.3822271627
67	0.3817419736
68	0.3811472825
69	0.3804595511
70	0.38001952
71	0.3793779049
72	0.378891002
73	0.3782785814
74	0.3776170395
75	0.3772525006
76	0.3768380786
77	0.3765317041
78	0.3760569381
79	0.3754383274
80	0.3749933575
81	0.3745610879
82	0.3743175697
83	0.3739354162
84	0.3737193315
85	0.3731746494
86	0.3728278397
87	0.3723991198
88	0.372123587
89	0.3714939946
90	0.3711076822
91	0.3708651018
92	0.3705601407
93	0.3702833704
94	0.3695112789
95	0.3692480719
96	0.3686439502
97	0.3684094876
98	0.368017691
99	0.3676326357
100	0.3673422398
101	0.3666685633
102	0.3664543037
103	0.3661803914
104	0.3657874534
105	0.365458538
106	0.3650441361
107	0.3647977034
108	0.3646015748
109	0.3642122363
110	0.3641022926
111	0.3638648744
112	0.3635721327
113	0.3635103559
114	0.3630081802
115	0.3627296569
116	0.362313326
117	0.362053324
118	0.3617880734
119	0.3615519714
120	0.3613478148
121	0.3610718358
122	0.3608662566
123	0.3605416995
124	0.3601258594
125	0.3600457759
126	0.3598687777
127	0.3596269416
128	0.3594868845
129	0.3592093207
130	0.3588528542
131	0.3586442653
132	0.3584176606
133	0.358215863
134	0.3580345169
135	0.3578520716
136	0.3577602274
137	0.3574697758
138	0.3571500794
139	0.3570597206
140	0.3568736697
141	0.356612776
142	0.3564014408
143	0.3561957817
144	0.3560671991
145	0.3559167533
146	0.3557217639
147	0.3554904604
148	0.3552066168
149	0.3550810957
150	0.3548343581
151	0.3546993392
152	0.354620116
153	0.3544827358
154	0.3543846445
155	0.3542258303
156	0.3540989331
157	0.3536305126
158	0.3534834788
159	0.3532194613
160	0.3531423421
161	0.3527881279
162	0.3525655556
163	0.352347789
164	0.3521064211
165	0.3518937763
166	0.3517132667
167	0.3513920761
168	0.3511449147
169	0.3510373042
170	0.3509894433
171	0.3508135261
172	0.3506591362
173	0.3504969974
174	0.3503824669
175	0.3499296372
176	0.3497396625
177	0.3494934865
178	0.3493041605
179	0.3491000093
180	0.3489009928
181	0.3487215103
182	0.348525323
183	0.3481600336
184	0.3479074843
185	0.3476379503
186	0.3474448653
187	0.3472206735
188	0.347070825
189	0.3468790593
190	0.3467385352
191	0.3466143705
192	0.3463977588
193	0.3462624111
194	0.346152209
195	0.3458483418
196	0.3454970293
197	0.3453003582
198	0.3451858504
199	0.3450221861
200	0.3448165201
201	0.3446560344
202	0.3445647884
203	0.3442674573
204	0.3441247761
205	0.3439668155
206	0.3437514573
207	0.3433789546
208	0.3432113375
209	0.3429865086
210	0.3428570939
211	0.3426367812
212	0.342494849
213	0.3423226084
214	0.3421354941
215	0.3420553673
216	0.3419622935
217	0.3416346355
218	0.3415316806
219	0.3414683776
220	0.341194672
221	0.3410314094
222	0.3407887893
223	0.3407510262
224	0.3406621071
225	0.3404644107
226	0.3403663184
227	0.3402152153
228	0.3400227773
229	0.3398169334
230	0.3396439144
231	0.3396044747
232	0.3394754222
233	0.3392398251
234	0.3391569546
235	0.3390501699
236	0.3389276442
237	0.3386642058
238	0.3385987768
239	0.3384946575
240	0.3383527835
241	0.3381967622
242	0.338113874
243	0.3380522606
244	0.3379890706
245	0.3378357102
246	0.3375991597
247	0.337442594
248	0.3373674192
249	0.3373040099
250	0.3371379824
251	0.3370237735
252	0.3369208792
253	0.3367238586
254	0.3365464301
255	0.3364144173
256	0.3361453879
257	0.3359684427
258	0.3358680011
259	0.3355846715
260	0.33547119
261	0.3353702518
262	0.3352855349
263	0.33516892
264	0.3349803734
265	0.334841998
266	0.334720656
267	0.3346944909
268	0.3346328386
269	0.3343853186
270	0.3342792229
271	0.3341629881
272	0.3339976024
273	0.3338891367
274	0.3336341902
275	0.3335188086
276	0.333490063
277	0.3333402296
278	0.333192715
279	0.3330560641
280	0.332875679
281	0.3326607029
282	0.3325907376
283	0.3324794243
284	0.3322761311
285	0.3320674848
286	0.3320256534
287	0.3318225521
288	0.3316799908
289	0.331596396
290	0.3314975769
291	0.3312753202
292	0.3310575959
293	0.3308963558
294	0.3306805225
295	0.3305963372
296	0.330426978
297	0.3303656439
298	0.3301578095
299	0.3300028967
